"Log Id"	"Internal Case"	"After Work"	"Holiday"	"Status"	"Customer"	"Time"	"Requestor"	"Submitted Date"	"Time"	"Subject"	"Problem Description"	"Module"	"Application_Form"	"Program Group"	"Type"	"Problem"	"Error Type"	"C(problemStatic)"	"Cause"	"Solution"	"Solution By"	"Responsible"	"Time"	"Projected Date"	"Closed  By"	"Closed Date"	"Submitted Date"	"Closed"	"Remark"	"Record By"	"Severity "	"Support  Type"	"LogType"	"Mail"	"Time"	"Time"	"Time"	"How To Check"	"Current Solution"	"C(longtermsolutionStatic)"	"Closed"	"Severity "	"Severity Days"	"SLA"	"PK Manday"	"LogDate"	
"CNI2602013"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"20/02/2026"	"13:35"	"รบกวนตรวจสอบ GJ2601000058"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Standard"	"รบกวนตรวจสอบ  GJ2601000058  เนื่องจาก Post แล้วไม่เข้าหน้า G/L ค่ะ"	"Standard Bug"	""	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"20/02/2026"	"25/02/2026"	"J3"	"23/02/2026"	"0831"	1	""	"J6"	"Standard"	""	""	"MAIL"	"20/02/2026"	"J6"	"13:40"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"20/02/2026"	
"CNI2602014"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"20/02/2026"	"16:30"	"รบกวนตรวจสอบ GJ2601000059"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Standard"	"รบกวนตรวจสอบ GJ2601000059 เนื่องจาก POST  รายการไปแล้วแต่ไม่เข้าหน้า GL ค่ะ"	"Standard Bug"	""	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"20/02/2026"	"25/02/2026"	"J3"	"23/02/2026"	"0831"	1	""	"J6"	"Standard"	""	""	"MAIL"	"20/02/2026"	"J6"	"16:35"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"20/02/2026"	
"CNI2603001"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"13/03/2026"	"11:40"	"รบกวนตรวจสอบรายการ GJ2602000039"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Localized"	"รบกวนตรวจสอบรายการ GJ2602000039   เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงาน
ในขณะที่ post ปกติค่ะ"	"PPCC Localized"	""	""	""	""	"J3"	"13/03/2026"	"18/03/2026"	"J3"	"16/03/2026"	"0852"	1	""	"J6"	"Standard"	""	""	"MAIL"	"13/03/2026"	"J6"	"11:45"	""	"Insert ข้อมูลเข้า Journal แล้วให้ User ทำการ Post จาก Journal เข้า G/L ใหม่"	"Insert ข้อมูลเข้า Journal แล้วให้ User ทำการ Post จาก Journal เข้า G/L ใหม่"	1	"Standard"	"3 Days"	Pass	0.00	"13/03/2026"	
"CNI2603002"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"K.Tuk"	"18/03/2026"	"11:20"	"พี่สงสัยทำไม บรรทัดที่ 2 เวลา รีวิว ขึ้นแบบนั่นแต่หน้าระบบ โชว์น่ะค่ะ"	""	"PO"	"Purchase Order Report"	"Purchase Order Report"	"Customized"	"พี่สงสัยทำไม บรรทัดที่ 2 เวลา รีวิว ขึ้นแบบนั่นแต่หน้าระบบ โชว์น่ะค่ะ"	"Knowledge"	""	"เงื่อนไขของรายงานกรณีถ้ามี Vendor Item ระบบจะนำ Vendor Item ไปแสดง"	""	""	"J3"	"18/03/2026"	"23/03/2026"	"J3"	"20/03/2026"	"0910"	2	""	"J6"	"Standard"	""	""	"LINE"	"18/03/2026"	"J6"	"11:25"	""	""	""	2	"Standard"	"3 Days"	Pass	0.00	"18/03/2026"	
"CNI2603003"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"19/03/2026"	"10:55"	"ตรวจสอบ CC2602000002"	""	"AP"	"PPCC_Input Vat Report"	"Input Vat"	"Localized"	"รบกวนแก้ไขยอด ภาษีมูลค่าเพิ่ม CC2602000002 จากเดิม 128.29 บาท แก้ไขเป็นยอด 128.28 บาท จำนวนเงินรวม 1,961 บาท รายการถูก post ไปแล้วค่ะ"	"Human Error"	""	""	"Update Database"	""	"J3"	"19/03/2026"	"25/03/2026"	"J3"	"20/03/2026"	"0909"	1	""	"sa"	"Standard"	""	""	"MAIL"	"19/03/2026"	"J3"	"11:45"	""	"Update Database"	"Update Database"	1	"Standard"	"3 Days"	Pass	0.00	"20/03/2026"	
"CNI2603004"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"19/03/2026"	"15:25"	"รบกวนตรวจสอบ GJ2602000047"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Standard"	"รบกวนตรวจสอบ  GJ2602000047  เนื่องจาก Post แล้วไม่เข้าหน้า G/L ค่ะ"	"Standard Bug"	""	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"19/03/2026"	"25/03/2026"	"J3"	"20/03/2026"	"0908"	1	""	"sa"	"Standard"	""	""	"MAIL"	"19/03/2026"	"J3"	"15:45"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"20/03/2026"	
"CNI2603005"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"K.Kung"	"19/03/2026"	"14:55"	"ไฟล์นี้ โหลดเข้าระบบไม่ได้ค่ะ"	""	"EDI"	"PPCC_EDI Order Load"	"EDI Load Order"	"Customized"	"ไฟล์นี้ โหลดเข้าระบบไม่ได้ค่ะ"	"Human Error"	""	"ข้อมูล Column CONT 2 รายการแรกมีการขึ้นบรรทัดใหม่หรือ Tab ทำให้ข้อมูล Txt ไม่ถูกต้อง"	"แก้ไขข้อมูล Column CONT 2 รายการแรกโดยลบการขึ้นบรรทัดใหม่หรือ Tab ออก"	""	"J3"	"19/03/2026"	"25/03/2026"	"J3"	"20/03/2026"	"0908"	1	""	"sa"	"Standard"	""	""	"LINE"	"19/03/2026"	"J3"	"15:15"	""	"แก้ไขข้อมูล Column CONT 2 รายการแรกโดยลบการขึ้นบรรทัดใหม่หรือ Tab ออก"	"แก้ไขข้อมูล Column CONT 2 รายการแรกโดยลบการขึ้นบรรทัดใหม่หรือ Tab ออก"	1	"Standard"	"3 Days"	Pass	0.00	"20/03/2026"	
"CNI2603006"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"20/03/2026"	"08:35"	"รบกวนตรวจสอบ GJ2602000043"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Localized"	"รบกวนแก้ไขยอด ภาษีมูลค่าเพิ่ม GJ2602000043 จากเดิม 20.20 บาท แก้ไขเป็นยอด 20.22 บาท และลบรายการส่วนขาดส่วนเกิน 0.02 ออก รายการถูก post ไปแล้วค่ะ"	"Human Error"	""	""	"Update Database ส่วนขาบัญชีส่วนขาดส่วนเกินจะไม่ลบออกแต่จะแก้ไขยอดเงินเป็น 0"	""	"J3"	"20/03/2026"	"25/03/2026"	"J3"	"20/03/2026"	"0908"	1	""	"sa"	"Standard"	""	""	"MAIL"	"20/03/2026"	"J3"	"08:55"	""	"Update Database ส่วนขาบัญชีส่วนขาดส่วนเกินจะไม่ลบออกแต่จะแก้ไขยอดเงินเป็น 0"	"Update Database ส่วนขาบัญชีส่วนขาดส่วนเกินจะไม่ลบออกแต่จะแก้ไขยอดเงินเป็น 0"	1	"Standard"	"3 Days"	Pass	0.00	"20/03/2026"	
"CNI2603007"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"26/03/2026"	"11:30"	"รบกวนตรวจสอบรายการหน้า Journal Voucher Listing Report"	""	"GL"	"Journal Voucher Listing Report"	"Journal Voucher Report List"	"Localized"	"รบกวนตรวจสอบรายการหน้า Journal Voucher Listing Report  คำอธิบายตรง Description  ไม่โชว์ยกตัวอย่าง"	"PPCC Localized"	""	"เงื่อนไขการแสดง Description จะดึงเฉพาะ Note ที่ข้อมูลยังอยู่ Journal Entries ซึ่ง Ref JV2512000046 ข้อมูลถูก Post ไป G/L Posted Transactions จึงไม่สามารถดึง Note มาแสดงได้"	"เขียนเงื่อนไขเพิ่ม"	""	"J3"	"26/03/2026"	"31/03/2026"	"J3"	"27/03/2026"	"1024"	1	""	"J6"	"Standard"	""	""	"MAIL"	"26/03/2026"	"J6"	"11:55"	""	"เขียนเงื่อนไขเพิ่ม"	"เขียนเงื่อนไขเพิ่ม"	1	"Standard"	"3 Days"	Pass	0.00	"26/03/2026"	
"CNI2603008"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"31/03/2026"	"14:25"	"รบกวนสอบถามค่ะ"	""	"CU"	"Customers"	"Customers"	"Customized"	"ลูกค้า ให้เปลี่ยนชื่อ บริษัทจาก บริษัท  สยามคอมเพรสเซอร์อุตสาหกรรม  จำกัด เป็น บริษัท มิตซูบิชิ อิเล็คทริค สยามคอมเพรสเซอร์อุตสาหกรรม จำกัดที่อยู่ เหมือนเดิมอยากได้ code cus C001201 เหมือนเดิท ได้ไหมค่ะ"	"Knowledge"	""	""	"แก้ไขที่อยู่ใหม่"	""	"S11"	"31/03/2026"	"03/04/2026"	"J3"	"01/04/2026"	"1049"	1	""	"J6"	"Standard"	""	""	"LINE"	"31/03/2026"	"J6"	"14:25"	""	"แก้ไขที่อยู่ใหม่"	"แก้ไขที่อยู่ใหม่"	1	"Standard"	"3 Days"	Pass	0.00	"31/03/2026"	
"CNI2604001"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"K.Tuk"	"17/04/2026"	"10:05"	"vender ที่ยกเลิกใช้แล้วพี่อยากรุ้ว่า ถ้าพี่ดึงมาเปิด po อยากให้ระบบไม่ยอม หรือเตือนว่ายกเลิกได้ไหม"	""	"Vendors"	"Vendors"	"Vendors"	"Customized"	"vender ที่ยกเลิกใช้แล้วพี่อยากรุ้ว่า ถ้าพี่ดึงมาเปิด po อยากให้ระบบไม่ยอม หรือเตือนว่ายกเลิกได้ไหม"	"Knowledge"	""	"ในกรณีนี้รหัส Vendor นี้มีหนี้ค้างอยู่ต้องทำการเคลียร์หนี้ก่อนถึงจะมาเปลี่ยน Status ได้"	"เปลี่ยน Status เป็น N ที่หน้าจอ Vendors"	""	"J6"	"17/04/2026"	"22/04/2026"	"J3"	"20/04/2026"	"0835"	1	""	"J6"	"Standard"	""	""	"LINE"	"17/04/2026"	"J6"	"11:25"	""	"เปลี่ยน Status เป็น N ที่หน้าจอ Vendors"	"เปลี่ยน Status เป็น N ที่หน้าจอ Vendors"	1	"Standard"	"3 Days"	Pass	0.00	"17/04/2026"	
"CNI2604002"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"18/04/2026"	"21:35"	"รบกวนตรวจสอบรายการ GJ2512000057"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Localized"	"รบกวนตรวจสอบรายการ GJ2512000057   เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงาน ในขณะที่ post ปกติค่ะ
"	"PPCC Localized"	""	"ข้อมู Post เข้า tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"20/04/2026"	"23/04/2026"	"J3"	"20/04/2026"	"1121"	1	""	"sa"	"Standard"	""	""	"MAIL"	"20/04/2026"	"J3"	"09:05"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"20/04/2026"	
"CNI2604003"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"18/04/2026"	"21:50"	"รบกวนตรวจสอบรายการ RV2512000066"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Localized"	"รบกวนตรวจสอบรายการ RV2512000066   เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงาน ในขณะที่ post ปกติค่ะ
"	"PPCC Localized"	""	"ข้อมู Post เข้า tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"20/04/2026"	"23/04/2026"	"J3"	"20/04/2026"	"1122"	1	""	"sa"	"Standard"	""	""	"MAIL"	"20/04/2026"	"J3"	"09:05"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"20/04/2026"	
"CNI2604004"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"20/04/2026"	"11:00"	"รบกวนตรวจสอบรายการ GJ2512000056"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Localized"	"รบกวนตรวจสอบรายการ GJ2512000056  เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงานในขณะที่ post ปกติค่ะ"	"PPCC Localized"	""	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"20/04/2026"	"23/04/2026"	"J3"	"27/04/2026"	"0835"	5	""	"J6"	"Standard"	""	""	"MAIL"	"20/04/2026"	"J6"	"11:10"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	5	"Standard"	"3 Days"	Not Pass	0.00	"20/04/2026"	
"CNI2604005"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"K.ทราย"	"30/04/2026"	"10:45"	"รบกวนเช็คให้หน่อยค่ะโพสแล้วไม่โชว์หน้าAR ค่ะ"	""	"AR"	"PPCC_Pre-Invoice"	"Pre Invoice"	"Customized"	"รบกวนเช็คให้หน่อยค่ะโพสแล้วไม่โชว์หน้าAR ค่ะ"	"Human Error"	""	"ยังไม่ได้เปลี่ยน Status DO เป็น Approved"	"เปลี่ยน Status DO เป็น Approved"	""	"J3"	"30/04/2026"	"05/05/2026"	"J3"	"05/05/2026"	"0907"	3	""	"J6"	"Standard"	""	""	"LINE"	"30/04/2026"	"J6"	"11:45"	""	"เปลี่ยน Status DO เป็น Approved"	"เปลี่ยน Status DO เป็น Approved"	3	"Standard"	"3 Days"	Pass	0.00	"30/04/2026"	
"CNI2605001"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"K.Kae"	"18/05/2026"	"11:35"	"รบกวนตรวจสอบ ข้อมูลที่อยู่ใบลดหนี้ค่ะ"	""	"AR"	"RMAs"	"RMA Invoice"	"Customized"	"รบกวนตรวจสอบ ข้อมูลที่อยู่ใบลดหนี้ค่ะ"	"Customized Bug"	""	"ที่อยู่ตกบรรทัด"	"ย่อขนาดตัวอักษรให้เล็กลง"	""	"J3"	"18/05/2026"	"21/05/2026"	"J3"	"19/05/2026"	""	1	""	"J6"	"Standard"	""	""	"LINE"	"18/05/2026"	"J6"	"11:45"	""	"ย่อขนาดตัวอักษรให้เล็กลง"	"ย่อขนาดตัวอักษรให้เล็กลง"	1	"Standard"	"3 Days"	Pass	0.00	"18/05/2026"	
"CNI2605002"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"18/05/2026"	"12:00"	"ไม่โชว์ในรายงาน GL"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Standard"	"ไม่โชว์ในรายงาน GL"	"Standard Bug"	""	"ข้อมูลค้างที่ตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"18/05/2026"	"21/05/2026"	"J3"	"19/05/2026"	"1451"	1	""	"J6"	"Standard"	""	""	"MAIL"	"18/05/2026"	"J6"	"12:15"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"18/05/2026"	
"CNI2605003"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"18/05/2026"	"16:25"	"รบกวนตรวจสอบรายการ GJ2602000061"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Standard"	"รบกวนตรวจสอบรายการ GJ2602000061   เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงาน
ในขณะที่ post ปกติค่ะ"	"Standard Bug"	""	"ข้อมูล GJ2602000061#2292 ยังคงอยู่ที่หน้าจอ A/P Payments"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"18/05/2026"	"21/05/2026"	"J3"	"19/05/2026"	"1451"	1	""	"J6"	"Standard"	""	""	"MAIL"	"18/05/2026"	"J6"	"16:35"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"ให้ User ทำการ Post จาก Journal เข้า G/L"	1	"Standard"	"3 Days"	Pass	0.00	"18/05/2026"	
"CNI2605004"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"19/05/2026"	"13:45"	"รบกวนตรวจสอบรายการ GJ2604000057"	""	"GL"	"General Ledger By Account Report"	"General Ledger By Account Report"	"Standard"	"รบกวนตรวจสอบรายการ GJ2604000057   เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงาน ในขณะที่ post ปกติค่ะ
"	"Standard Bug"	""	"ข้อมูลค้างที่ตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"19/05/2026"	"22/05/2026"	"J3"	"19/05/2026"	"1451"	1	""	"sa"	"Standard"	""	""	"MAIL"	"19/05/2026"	"J3"	"13:55"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"19/05/2026"	
"CNI2605005"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"25/05/2026"	"08:25"	"ตรวจสอบ GJ2604000033 เนื่องจากถูกโพสไปแล้วไม่เข้า หน้า GL ค่ะ"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Standard"	"รบกวนตรวจสอบ GJ2604000033 เนื่องจากได้ทำการโพสไปแล้วแต่ไม่เข้าหน้า GL ค่ะ"	"Standard Bug"	""	"ข้อมูลค้างที่ตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"25/05/2026"	"28/05/2026"	"J3"	"25/05/2026"	"1315"	1	""	"sa"	"Standard"	""	""	"MAIL"	"25/05/2026"	"J3"	"08:40"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"25/05/2026"	
"CNI2605006"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"K.Yada"	"26/05/2026"	"11:15"	"ตั้งแต่เปิด po. หน้า po ไปดึง ต้นทันพวกค่าขนส่งเก่ามาด้วย  ทำให้หน้าpoออกยอดผิดค่ะ"	""	"PO"	"Purchase Orders Lines"	"Purchase Order Lines"	"Standard"	"ปกติ จะขึ้นตรงนี้ก็ต่อเมื่อเรา land Cost  แต่ตอนนี้เหมือนระบบขึ้น ตั้งแต่เปิด po  เลยค่ะ"	"Knowledge"	""	"1. ถ้าเปิด PO จาก PR หรือระบบวางแผน ระบบจะไปดึงราคาตามที่กำหนดไว้ในหน้าจอ Vendor contract Price
2. ถ้ามีการสร้าง  PO Line และไม่ได้ใส่จำนวนตามเงื่อนไข จำนวน ตามที่กำหนดไว้ที่หน้าจอ Vendor contract Price แล้วกด Save ระบบจะดึงราคาจากหน้าจอ Item warehouse cost
"	"หากมีการแก้ไขเปลี่ยนแปลงราคาซื้อ แล้วต้องการให้ระบบดึง Unit Cost ให้ใหม่จากที่เคยกด Save ไปแล้ว ให้กดปุ่ม Recalculate Cost ที่หน้าจอ Purchase Order"	""	"S11"	"26/05/2026"	"01/06/2026"	"J3"	"28/05/2026"	"0935"	2	""	"J6"	"Standard"	""	""	"LINE"	"26/05/2026"	"J6"	"11:15"	""	"หากมีการแก้ไขเปลี่ยนแปลงราคาซื้อ แล้วต้องการให้ระบบดึง Unit Cost ให้ใหม่จากที่เคยกด Save ไปแล้ว ให้กดปุ่ม Recalculate Cost ที่หน้าจอ Purchase Order"	"หากมีการแก้ไขเปลี่ยนแปลงราคาซื้อ แล้วต้องการให้ระบบดึง Unit Cost ให้ใหม่จากที่เคยกด Save ไปแล้ว ให้กดปุ่ม Recalculate Cost ที่หน้าจอ Purchase Order"	2	"Standard"	"3 Days"	Pass	0.00	"27/05/2026"	
"CNI2606001"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"01/06/2026"	"11:45"	"ลบรายงานของวอทเชอร์ 98421 ที่เป็น Adjustment ที่ผิดให้หน่อยค่ะ"	""	"AP"	"PPCC_AP Invoice Voucher Report"	"AP Invoice Voucher Report"	"Localized"	"เนื่องจากได้ทำการลดหนี้อินวอย์ที่เป็นเลขที่วอทเชอร์ 98421 มีรายงานที่ผิดเพิ่มเข้ามา 1 ใบ รบกวนลบออกให้เหลือแค่ 2 ใบที่ถูกได้ไหมค่ะ"	"PPCC Localized"	""	"มีข้อมูล Voucher 98421 ที่สร้างจากการตั้งตรงผ่านหน้าจอ AP Voucher and Adjustments ค้างอยู่ที่ตาราง ppcc_aptrx_mst"	"ลบข้อมูล Voucher 98421 ที่สร้างจากการตั้งตรงผ่านหน้าจอ AP Voucher and Adjustments ออกจากตาราง ppcc_aptrx_mst"	""	"J3"	"02/06/2026"	"05/06/2026"	"J3"	"02/06/2026"	"0910"	1	""	"sa"	"Standard"	""	""	"MAIL"	"02/06/2026"	"J3"	"08:40"	""	"ลบข้อมูล Voucher 98421 ที่สร้างจากการตั้งตรงผ่านหน้าจอ AP Voucher and Adjustments ออกจากตาราง ppcc_aptrx_mst"	"ลบข้อมูล Voucher 98421 ที่สร้างจากการตั้งตรงผ่านหน้าจอ AP Voucher and Adjustments ออกจากตาราง ppcc_aptrx_mst"	1	"Standard"	"3 Days"	Pass	0.00	"02/06/2026"	
"CNI2606002"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Narin"	"11/06/2026"	"13:20"	"รบกวนตรวจสอบรายการ GJ2605000026"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Standard"	"รบกวนตรวจสอบรายการ GJ2605000026   เนื่องจากใน General Ledger By Account Report ไม่โชว์รายงาน
  ในขณะที่ post ปกติค่ะ
"	"Standard Bug"	""	"ข้อมูลค้างอยู่ที่ตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"11/06/2026"	"16/06/2026"	"J3"	"15/06/2026"	"0851"	2	""	"sa"	"Standard"	""	""	"MAIL"	"11/06/2026"	"J3"	"13:30"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	2	"Standard"	"3 Days"	Pass	0.00	"11/06/2026"	
"CNI2606003"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"16/06/2026"	"14:25"	"รบกวนตรวจสอบ GJ2605000038 เนื่องจากถูกโพสไปแล้วแต่ไม่เข้าหน้า GL ค่ะ"	""	"GL"	"G/L Posted Transactions"	"GL Posted Transactions"	"Standard"	"รบกวนตรวจสอบ GJ2605000038 เนื่องจากถูกโพสไปแล้วแต่ไม่เข้าหน้า GL ค่ะ"	"Standard Bug"	""	"ข้อมูลค้างอยู่ที่ตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	""	"J3"	"16/06/2026"	"19/06/2026"	"J3"	"16/06/2026"	"1438"	1	""	"sa"	"Standard"	""	""	"MAIL"	"16/06/2026"	"J3"	"14:30"	""	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	"Insert ข้อมูลเข้า journal และลบข้อมูลออกจากตาราง tmp_mass_journal"	1	"Standard"	"3 Days"	Pass	0.00	"16/06/2026"	
"CNI2606004"	0	0	0	"999-Closed"	"CNI"	"CNI_ERP"	"Accounting"	"17/06/2026"	"1125"	"สอบถามค่ะ  รายการที่ 1 ราคาต่อหน่วย 64.41  ส่งงาน 100 ชิ้น  ราคารวมต้องได้ 6441 บาท  แต่ในระบบ  6440.80  ค่ะ"	""	"AR"	"PPCC_Pre Invoices"	"Pre Invoice"	"Customized"	"สอบถามค่ะ  รายการที่ 1 ราคาต่อหน่วย 64.41  ส่งงาน 100 ชิ้น  ราคารวมต้องได้ 6441 บาท  แต่ในระบบ  6440.80  ค่ะ"	"Knowledge"	""	"CO เปิดมาด้วย 64.408 ซึ่งข้อมูลราคาในระบบถูกต้องแล้ว แต่ที่หน้าจอ Pre Invoice แสดงทศนิยม 2 ตำแหน่งจึงมองเป็น 64.41"	"ถ้าราคา 64.41 เป็นราคาที่ถูกต้อง เคสนี้ต้องทำถอยและไปแก้ราคาที่ CO ให้เป็น 64.41 และออก Invoice ใหม่"	""	"J3"	"17/06/2026"	"22/06/2026"	"J3"	"17/06/2026"	"1559"	1	""	"sa"	"Standard"	""	""	"LINE"	"17/06/2026"	"J3"	"1205"	""	"ถ้าราคา 64.41 เป็นราคาที่ถูกต้อง เคสนี้ต้องทำถอยและไปแก้ราคาที่ CO ให้เป็น 64.41 และออก Invoice ใหม่"	"ถ้าราคา 64.41 เป็นราคาที่ถูกต้อง เคสนี้ต้องทำถอยและไปแก้ราคาที่ CO ให้เป็น 64.41 และออก Invoice ใหม่"	1	"Standard"	"3 Days"	Pass	0.00	"17/06/2026"	
